NO_OF_FRAMES	1200
NO_OF_CAMERAS	7
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-30, 12:59:36	3231.27037116
DATA_INCLUDED	3D
MARKER_NAMES	HIP	KNEE	ANKLE
Frame	Time	HIP X	HIP Y	HIP Z	KNEE X	KNEE Y	KNEE Z	ANKLE X	ANKLE Y	ANKLE Z	
1	0.00417	766.795	803.750	851.659	776.819	828.243	430.454	787.820	885.437	106.657
2	0.00833	766.786	803.744	851.771	776.833	828.219	430.426	787.915	885.449	106.641
3	0.01250	766.773	803.749	851.806	776.898	828.200	430.421	787.921	885.469	106.780
4	0.01667	766.572	803.722	851.678	776.957	828.133	430.511	787.826	885.404	106.752
5	0.02083	766.587	803.645	851.727	776.875	828.202	430.448	787.950	885.485	106.703
6	0.02500	766.625	803.702	851.680	776.877	828.230	430.435	787.907	885.531	106.696
7	0.02917	766.578	803.713	851.748	776.888	828.190	430.469	788.001	885.483	106.858
8	0.03333	766.637	803.766	851.706	776.916	828.192	430.420	787.895	885.407	106.752
9	0.03750	766.607	803.869	851.665	776.947	828.165	430.458	787.850	885.485	106.719
10	0.04167	766.658	803.782	851.730	776.903	828.251	430.409	787.909	885.455	106.757
11	0.04583	766.685	803.949	851.797	777.582	828.821	430.284	788.195	884.976	106.443
12	0.05000	766.726	803.917	851.818	777.602	828.799	430.335	788.177	885.075	106.293
13	0.05417	766.681	803.973	851.798	777.653	828.829	430.307	788.280	885.121	106.230
14	0.05833	766.733	804.064	851.770	776.972	828.440	430.484	788.009	885.412	106.716
15	0.06250	766.756	804.032	851.764	776.941	828.438	430.420	788.002	885.351	106.742
16	0.06667	766.729	804.090	851.790	776.949	828.439	430.390	788.154	885.384	106.932
17	0.07083	766.792	804.110	851.715	776.946	828.514	430.456	788.083	885.391	106.873
18	0.07500	766.725	804.080	851.785	776.914	828.479	430.421	788.006	885.582	106.650
19	0.07917	766.762	804.126	851.781	776.966	828.487	430.376	788.097	885.488	106.794
20	0.08333	766.759	804.144	851.806	776.962	828.511	430.375	788.030	885.421	106.781
21	0.08750	766.769	804.157	851.773	776.896	828.474	430.409	788.046	885.367	106.832
22	0.09167	766.752	804.275	851.721	776.918	828.472	430.336	788.082	885.382	106.874
23	0.09583	766.720	804.171	851.822	776.931	828.553	430.406	788.020	885.458	106.762
24	0.10000	766.823	804.239	851.750	776.939	828.502	430.394	788.060	885.476	106.828
25	0.10417	766.807	804.248	851.783	776.923	828.620	430.385	788.011	885.423	106.748
26	0.10833	766.821	804.249	851.765	776.907	828.594	430.358	788.054	885.351	106.925
27	0.11250	766.814	804.256	851.786	776.887	828.539	430.352	788.007	885.448	106.817
28	0.11667	766.811	804.299	851.770	776.905	828.534	430.449	788.057	885.411	106.866
29	0.12083	766.857	804.301	851.826	776.952	828.647	430.451	787.968	885.465	106.798
30	0.12500	766.730	804.281	851.852	776.894	828.624	430.414	788.128	885.285	106.989
31	0.12917	766.781	804.349	851.847	776.942	828.595	430.377	788.048	885.276	106.941
32	0.13333	766.778	804.373	851.821	776.895	828.600	430.374	788.038	885.378	106.916
33	0.13750	766.818	804.368	851.837	776.872	828.644	430.371	788.009	885.416	106.851
34	0.14167	766.780	804.447	851.806	776.935	828.631	430.418	788.051	885.441	106.841
35	0.14583	766.841	804.442	851.831	776.914	828.671	430.383	788.137	885.510	106.818
36	0.15000	766.792	804.464	851.810	776.921	828.642	430.411	788.085	885.461	106.850
37	0.15417	766.834	804.480	851.807	776.959	828.685	430.430	788.104	885.588	106.900
38	0.15833	766.824	804.436	851.770	776.940	828.697	430.479	788.079	885.559	106.678
39	0.16250	766.816	804.465	851.826	776.909	828.650	430.431	788.089	885.413	106.959
40	0.16667	766.818	804.519	851.821	776.894	828.702	430.397	788.055	885.402	106.916
41	0.17083	766.803	804.472	851.852	776.868	828.719	430.408	788.040	885.550	106.832
42	0.17500	766.829	804.509	851.811	776.911	828.724	430.399	788.028	885.552	106.763
43	0.17917	766.786	804.463	851.815	776.893	828.773	430.369	788.118	885.443	106.965
44	0.18333	766.796	804.619	851.764	776.916	828.702	430.428	788.052	885.470	106.934
45	0.18750	766.819	804.631	851.737	776.930	828.768	430.351	788.089	885.384	106.978
46	0.19167	766.782	804.488	851.838	776.900	828.795	430.411	788.072	885.487	106.805
47	0.19583	766.840	804.623	851.815	776.857	828.842	430.409	788.088	885.474	106.972
48	0.20000	766.858	804.629	851.743	776.891	828.766	430.422	788.051	885.447	106.909
49	0.20417	766.862	804.580	851.829	776.869	828.823	430.381	788.087	885.521	106.876
50	0.20833	766.841	804.613	851.786	776.872	828.747	430.469	788.045	885.568	106.833
51	0.21250	766.866	804.673	851.805	776.927	828.775	430.438	788.065	885.452	106.908
52	0.21667	766.822	804.676	851.800	776.900	828.804	430.432	788.091	885.543	106.884
53	0.22083	766.847	804.609	851.797	776.898	828.809	430.426	788.107	885.471	106.753
54	0.22500	766.804	804.648	851.793	776.896	828.879	430.413	787.984	885.549	106.719
55	0.22917	766.840	804.689	851.766	776.906	828.968	430.434	788.093	885.468	106.885
56	0.23333	766.890	804.717	851.762	776.871	828.866	430.422	788.037	885.431	106.870
57	0.23750	766.912	804.780	851.755	776.913	828.853	430.454	788.081	885.417	106.903
58	0.24167	766.887	804.726	851.772	776.878	828.834	430.429	788.113	885.499	106.829
59	0.24583	766.834	804.679	851.768	776.866	828.844	430.425	788.110	885.538	106.897
60	0.25000	766.919	804.846	851.769	776.865	828.883	430.397	788.062	885.516	106.869
61	0.25417	766.895	804.743	851.728	776.901	828.869	430.429	788.088	885.437	106.846
62	0.25833	766.899	804.737	851.777	776.925	828.903	430.454	788.030	885.552	106.805
63	0.26250	766.807	804.747	851.822	776.880	828.943	430.426	788.042	885.478	106.919
64	0.26667	766.825	804.793	851.768	776.889	828.880	430.449	788.066	885.432	106.917
65	0.27083	766.806	804.752	851.811	776.848	828.888	430.416	788.064	885.537	106.900
66	0.27500	766.845	804.768	851.732	776.886	828.899	430.371	788.047	885.551	106.823
67	0.27917	766.810	804.775	851.799	776.863	828.918	430.438	788.031	885.530	106.817
68	0.28333	766.799	804.835	851.759	776.858	828.980	430.431	788.139	885.497	106.925
69	0.28750	766.876	804.737	851.698	776.875	828.925	430.392	788.034	885.559	106.770
70	0.29167	766.872	804.833	851.774	776.908	828.949	430.425	788.051	885.562	106.771
71	0.29583	766.837	804.838	851.710	776.864	828.914	430.428	788.108	885.624	106.771
72	0.30000	766.837	804.733	851.734	776.858	828.973	430.380	788.128	885.527	106.795
73	0.30417	766.879	804.747	851.756	776.896	828.971	430.472	787.982	885.591	106.741
74	0.30833	766.910	804.827	851.789	776.873	828.936	430.362	788.092	885.420	106.901
75	0.31250	766.891	804.713	851.688	776.876	828.925	430.402	788.124	885.495	106.906
76	0.31667	766.886	804.670	851.775	776.887	828.907	430.408	788.064	885.428	106.889
77	0.32083	766.933	804.667	851.774	776.866	828.926	430.433	788.089	885.466	106.894
78	0.32500	766.874	804.754	851.757	776.913	828.998	430.403	787.990	885.488	106.746
79	0.32917	766.860	804.758	851.771	776.933	829.003	430.464	788.080	885.613	106.772
80	0.33333	766.897	804.805	851.668	776.878	828.935	430.381	788.186	885.550	106.865
81	0.33750	766.887	804.751	851.650	776.873	828.948	430.442	788.039	885.423	106.839
82	0.34167	766.870	804.761	851.744	776.970	828.989	430.367	787.993	885.580	106.760
83	0.34583	766.952	804.720	851.677	776.910	828.935	430.448	788.018	885.530	106.894
84	0.35000	766.916	804.710	851.757	776.881	828.895	430.395	788.139	885.496	106.831
85	0.35417	766.887	804.671	851.726	776.892	828.917	430.392	788.037	885.476	106.851
86	0.35833	766.967	804.710	851.806	776.849	828.899	430.391	788.123	885.433	106.935
87	0.36250	766.928	804.725	851.662	776.950	828.881	430.345	788.099	885.597	106.846
88	0.36667	766.881	804.805	851.697	776.879	828.851	430.412	788.137	885.564	106.830
89	0.37083	766.914	804.772	851.661	776.864	828.872	430.389	788.084	885.586	106.797
90	0.37500	766.920	804.595	851.699	776.906	828.951	430.328	788.026	885.633	106.863
91	0.37917	766.943	804.630	851.768	776.907	828.874	430.366	788.218	885.555	106.825
92	0.38333	766.963	804.564	851.735	776.877	828.803	430.443	788.027	885.628	106.839
93	0.38750	766.967	804.619	851.673	776.899	828.887	430.420	788.014	885.626	106.716
94	0.39167	766.944	804.618	851.690	776.900	828.879	430.384	788.140	885.484	106.976
95	0.39583	766.892	804.499	851.748	776.939	828.883	430.380	788.051	885.525	106.849
96	0.40000	766.948	804.547	851.698	776.918	828.938	430.352	788.054	885.597	106.859
97	0.40417	766.957	804.586	851.675	776.894	828.899	430.361	788.047	885.606	106.723
98	0.40833	766.903	804.547	851.705	776.912	828.819	430.421	788.191	885.498	106.833
99	0.41250	766.972	804.558	851.698	776.921	828.878	430.359	788.032	885.592	106.739
100	0.41667	766.928	804.575	851.656	776.946	828.879	430.383	788.129	885.560	106.844
101	0.42083	766.899	804.619	851.685	776.847	828.870	430.349	787.957	885.602	106.625
102	0.42500	766.962	804.529	851.662	776.907	828.852	430.391	788.127	885.463	106.854
103	0.42917	766.956	804.549	851.646	776.871	828.908	430.338	788.096	885.658	106.654
104	0.43333	766.932	804.411	851.646	776.928	828.924	430.387	788.055	885.608	106.927
105	0.43750	766.960	804.468	851.671	776.876	828.872	430.377	788.025	885.614	106.747
106	0.44167	766.935	804.469	851.694	776.986	828.862	430.421	788.172	885.488	106.818
107	0.44583	766.971	804.504	851.618	776.900	828.905	430.394	787.986	885.589	106.663
108	0.45000	766.962	804.435	851.709	776.948	828.925	430.336	788.121	885.580	106.783
109	0.45417	767.044	804.541	851.675	776.929	828.867	430.316	788.065	885.505	106.854
110	0.45833	766.948	804.450	851.727	776.934	828.974	430.357	788.117	885.587	106.797
111	0.46250	766.938	804.371	851.708	776.912	828.962	430.370	788.087	885.398	106.876
112	0.46667	767.032	804.396	851.707	776.959	828.929	430.413	788.197	885.515	106.900
113	0.47083	767.017	804.490	851.664	776.931	828.938	430.407	788.099	885.470	106.720
114	0.47500	767.072	804.470	851.606	776.882	829.015	430.400	788.055	885.632	106.786
115	0.47917	766.986	804.249	851.700	776.951	828.961	430.349	788.151	885.551	106.834
116	0.48333	766.997	804.435	851.647	776.927	828.973	430.349	788.163	885.596	106.808
117	0.48750	767.046	804.397	851.576	776.941	828.894	430.328	788.090	885.631	106.813
118	0.49167	767.051	804.405	851.687	776.946	828.983	430.339	788.121	885.593	106.890
119	0.49583	767.042	804.376	851.609	776.942	828.971	430.406	788.125	885.672	106.785
120	0.50000	767.065	804.399	851.646	776.909	828.966	430.350	788.098	885.534	106.921
121	0.50417	767.022	804.390	851.582	776.928	828.919	430.323	788.096	885.604	106.846
122	0.50833	767.031	804.343	851.596	776.953	828.951	430.309	788.106	885.443	106.870
123	0.51250	767.034	804.334	851.585	776.955	828.924	430.356	788.024	885.747	106.707
124	0.51667	767.056	804.419	851.643	776.934	828.913	430.318	788.075	885.710	106.707
125	0.52083	767.073	804.354	851.601	776.976	828.930	430.390	788.089	885.726	106.712
126	0.52500	767.068	804.277	851.604	776.932	828.905	430.310	788.071	885.561	106.875
127	0.52917	766.990	804.299	851.610	776.977	828.942	430.314	788.104	885.658	106.764
128	0.53333	767.034	804.295	851.607	776.943	828.920	430.307	788.018	885.739	106.581
129	0.53750	767.032	804.301	851.583	776.981	828.984	430.345	788.098	885.674	106.732
130	0.54167	767.068	804.242	851.605	776.965	828.925	430.358	788.121	885.619	106.743
131	0.54583	766.982	804.239	851.567	776.945	828.929	430.364	788.124	885.707	106.747
132	0.55000	767.065	804.223	851.607	776.970	828.898	430.369	788.043	885.647	106.707
133	0.55417	767.037	804.214	851.692	776.983	828.919	430.364	788.125	885.785	106.602
134	0.55833	767.038	804.169	851.586	776.966	828.845	430.353	788.109	885.624	106.762
135	0.56250	767.023	804.181	851.631	776.974	828.937	430.360	788.134	885.657	106.857
136	0.56667	767.007	804.145	851.582	776.958	828.873	430.347	788.144	885.590	106.739
137	0.57083	767.029	804.156	851.513	776.935	828.903	430.395	788.080	885.598	106.771
138	0.57500	767.073	804.118	851.557	776.953	828.841	430.324	788.055	885.624	106.779
139	0.57917	767.052	804.146	851.614	776.947	828.838	430.319	788.051	885.679	106.785
140	0.58333	767.035	804.087	851.605	776.991	828.853	430.329	788.043	885.561	106.769
141	0.58750	767.065	804.122	851.556	776.985	828.852	430.315	788.031	885.596	106.785
142	0.59167	767.044	803.960	851.628	776.974	828.825	430.341	787.995	885.615	106.752
143	0.59583	767.028	804.054	851.607	776.967	828.822	430.349	788.121	885.720	106.670
144	0.60000	767.057	804.068	851.517	776.975	828.790	430.332	788.114	885.617	106.811
145	0.60417	767.074	803.970	851.608	776.963	828.802	430.331	788.077	885.601	106.835
146	0.60833	766.996	803.932	851.509	776.958	828.851	430.370	788.069	885.694	106.743
147	0.61250	767.021	803.979	851.494	776.955	828.799	430.356	788.131	885.672	106.739
148	0.61667	767.005	803.914	851.592	777.020	828.772	430.343	788.102	885.617	106.794
149	0.62083	767.021	803.943	851.624	776.940	828.832	430.343	788.093	885.703	106.798
